id,year,title,authors,journal,doi,pmid,citations,theme,method,source
99,2023,Biphasic burst and sustained transdermal delivery in vivo using an AI-optimized 3D-printed MN patch.,Arvind Bagde; Satyanarayan Dev; Lalitha Madhavi K Sriram; Shawn D Spencer; Anilkumar Kalvala; Aakash Nathani; Oluwaseyi Salau; Keb Mosley-Kellum,International journal of pharmaceutics,10.1016/j.ijpharm.2023.122647,36754185,49,microneedle_ml_permeation,ANN,pubmed
27,2024,An update of skin permeability data based on a systematic review of recent research.,Lisa Chedik; Shamkhal Baybekov; Frédéric Cosnier; Gilles Marcou; Alexandre Varnek; Catherine Champmartin,Scientific data,10.1038/s41597-024-03026-4,38383523,46,skin_permeability_qsar,QSPR,pubmed
35,2021,Label-Free Quantification of Pharmacokinetics in Skin with Stimulated Raman Scattering Microscopy and Deep Learning.,Amin Feizpour; Troels Marstrand; Louise Bastholm; Stefan Eirefelt; Conor L Evans,The Journal of investigative dermatology,10.1016/j.jid.2020.06.027,32710899,43,skin_permeability_qsar,ANN,pubmed
50,2015,In Silico Predictions of Human Skin Permeability using Nonlinear Quantitative Structure-Property Relationship Models.,Hiromi Baba; Jun-ichi Takahara; Hiroshi Mamitsuka,Pharmaceutical research,10.1007/s11095-015-1629-y,25616540,43,skin_permeability_qsar,ensemble,pubmed
61,2021,CPE-DB: An Open Database of Chemical Penetration Enhancers.,Ekaterina P Vasyuchenko; Philipp S Orekhov; Grigoriy A Armeev; Marine E Bozdaganyan,Pharmaceutics,10.3390/pharmaceutics13010066,33430205,41,skin_permeability_qsar,none,pubmed
85,2025,AI-Driven Innovation in Skin Kinetics for Transdermal Drug Delivery: Overcoming Barriers and Enhancing Precision.,Nubul Albayati; Sesha Rajeswari Talluri; Nirali Dholaria; Bozena Michniak-Kohn,Pharmaceutics,10.3390/pharmaceutics17020188,40006555,41,microneedle_ml_permeation,ensemble,pubmed
32,2020,Models for skin and brain penetration of major components from essential oils used in aromatherapy for dementia patients.,Snezana Agatonovic-Kustrin; Chloe Ke Yi Chan; Vladimir Gegechkori; David W Morton,Journal of biomolecular structure & dynamics,10.1080/07391102.2019.1633408,31204906,39,skin_permeability_qsar,QSAR,pubmed
23,2024,Predictive modeling of skin permeability for molecules: Investigating FDA-approved drug permeability with various AI algorithms.,Rami M Abdallah; Hisham E Hasan; Ahmad Hammad,PLOS digital health,10.1371/journal.pdig.0000483,38568888,36,microneedle_ml_permeation,ensemble,pubmed
82,2016,In Silico Modelling of Transdermal and Systemic Kinetics of Topically Applied Solutes: Model Development and Initial Validation for Transdermal Nicotine.,Tao Chen; Guoping Lian; Panayiotis Kattou,Pharmaceutical research,10.1007/s11095-016-1900-x,26956458,36,md_atomistic_skin,FEM,pubmed
5,2023,Prediction of drug permeation through microneedled skin by machine learning,Yunong Yuan; Yiting Han; Chun Wei Yap; Jaspreet S. Kochhar; Hairui Li; Xiaoqiang Xiang; Lifeng Kang,Bioengineering &amp; Translational Medicine,10.1002/btm2.10512,38023708,35,microneedle_ml_permeation,XGBoost,crossref
110,2025,On-patient medical record and mRNA therapeutics using intradermal microneedles.,Jooli Han; Maria Kanelli; Yang Liu; John L Daristotle; Apurva Pardeshi; Timothy A Forster; Ari Karchin; Brandon Folk,Nature materials,10.1038/s41563-024-02115-4,39994390,33,microneedle_ml_permeation,ensemble,pubmed
45,2024,Optimizing Solid Microneedle Design: A Comprehensive ML-Augmented DOE Approach.,Ahmed Choukri Abdullah; Erfan Ahmadinejad; Savas Tasoglu,ACS measurement science au,10.1021/acsmeasuresciau.4c00021,39430965,32,microneedle_design_simulation,FEM,pubmed
70,2019,Prediction of the skin permeability of topical drugs using in silico and in vitro models.,Cristina Alonso; Víctor Carrer; Sonia Espinosa; Miriam Zanuy; Mònica Córdoba; Bernat Vidal; María Domínguez; Núria Godessart,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,10.1016/j.ejps.2019.05.023,31163216,31,skin_permeability_qsar,QSAR,pubmed
115,2020,Artificial neural network for modeling formulation and drug permeation of topical patches containing diclofenac sodium.,Sonia Lefnaoui; Samia Rebouh; Mounir Bouhedda; M Madiha Yahoum,Drug delivery and translational research,10.1007/s13346-019-00671-w,31485997,31,formulation_optimization_ml,ANN,pubmed
109,2024,Machine Learning Assists in the Design and Application of Microneedles.,Wenqing He; Suixiu Kong; Rumin Lin; Yuanting Xie; Shanshan Zheng; Ziyu Yin; Xin Huang; Lei Su,"Biomimetics (Basel, Switzerland)",10.3390/biomimetics9080469,39194448,30,microneedle_ml_permeation,review,pubmed
92,2015,Modeling and Prediction of Solvent Effect on Human Skin Permeability using Support Vector Regression and Random Forest.,Hiromi Baba; Jun-ichi Takahara; Fumiyoshi Yamashita; Mitsuru Hashida,Pharmaceutical research,10.1007/s11095-015-1720-4,26033768,27,skin_permeability_qsar,ensemble,pubmed
77,2025,Artificial intelligence-driven hydrogel microneedle patches integrating 5-fluorouracil inclusion complex-loaded flexible pegylated liposomes for enhanced non-melanoma skin cancer treatment.,Phuvamin Suriyaamporn; Chaiyakarn Pornpitchanarong; Thapakorn Charoenying; Koranat Dechsri; Tanasait Ngawhirunpat; Praneet Opanasopit; Boonnada Pamornpathomkul,International journal of pharmaceutics,10.1016/j.ijpharm.2024.125072,39675535,26,microneedle_ml_permeation,ANN,pubmed
108,2023,Machine Learning-Enabled Optimization of Interstitial Fluid Collection via a Sweeping Microneedle Design.,Ceren Tarar; Erdal Aydın; Ali K Yetisen; Savas Tasoglu,ACS omega,10.1021/acsomega.3c01744,37332784,26,microneedle_design_simulation,FEM,pubmed
4,2024,Development and comparison of machine learning models for in-vitro drug permeation prediction from microneedle patch,Anuj A. Biswas; Madhukiran R. Dhondale; Maan Singh; Ashish K. Agrawal; Prakash Muthudoss; Brahmeshwar Mishra; Dinesh Kumar,European Journal of Pharmaceutics and Biopharmaceutics,10.1016/j.ejpb.2024.114311,38710374,25,microneedle_ml_permeation,ensemble,crossref
90,2021,Efficient Prediction of In Vitro Piroxicam Release and Diffusion From Topical Films Based on Biopolymers Using Deep Learning Models and Generative Adversarial Networks.,Hentabli Salma; Yahoum Madiha Melha; Lefnaoui Sonia; Hentabli Hamza; Naomie Salim,Journal of pharmaceutical sciences,10.1016/j.xphs.2021.01.032,33548245,25,formulation_optimization_ml,GAN,pubmed
7,2022,In Silico Prediction of Skin Permeability Using a Two-QSAR Approach,Yu-Wen Wu; Giang Huong Ta; Yi-Chieh Lung; Ching-Feng Weng; Max K. Leong,Pharmaceutics,10.3390/pharmaceutics14050961,35631545,24,skin_permeability_qsar,QSAR,crossref
48,2023,Understanding Drug Skin Permeation Enhancers Using Molecular Dynamics Simulations.,Christian Wennberg; Magnus Lundborg; Erik Lindahl; Lars Norlén,Journal of chemical information and modeling,10.1021/acs.jcim.3c00625,37462219,23,md_atomistic_skin,MD,pubmed
55,2019,Percutaneous penetration of drugs applied in transdermal delivery systems: an in vivo based approach for evaluating computer generated penetration models.,Anne J Keurentjes; Howard I Maibach,Regulatory toxicology and pharmacology : RTP,10.1016/j.yrtph.2019.104428,31326435,23,skin_permeability_qsar,QSAR,pubmed
15,2024,The artificial intelligence and design of experiment assisted in the development of progesterone-loaded solid-lipid nanoparticles for transdermal drug delivery,Phuvamin Suriyaamporn; Boonnada Pamornpathomkul; Pawaris Wongprayoon; Theerasak Rojanarata; Tanasait Ngawhirunpat; Praneet Opanasopit,Pharmacia,10.3897/pharmacia.71.e123549,,22,formulation_optimization_ml,ANN,crossref
20,2015,Artificial neural network analysis for predicting human percutaneous absorption taking account of vehicle properties.,Tomomi Atobe; Masaaki Mori; Fumiyoshi Yamashita; Mitsuru Hashida; Hirokazu Kouzuki,The Journal of toxicological sciences,10.2131/jts.40.277,25786531,22,skin_permeability_qsar,ANN,pubmed
103,2020,Scalable in silico Simulation of Transdermal Drug Permeability: Application of BIOiSIM Platform.,Neha Maharao; Victor Antontsev; Hypatia Hou; Jason Walsh; Jyotika Varshney,"Drug design, development and therapy",10.2147/dddt.s253064,32606600,22,formulation_optimization_ml,ANN,pubmed
13,2025,Machine Learning-Driven Advancements in Liposomal Formulations for Targeted Drug Delivery: A Narrative Literature Review,Benyamin Hoseini; Mahmoud Reza Jaafari; Amin Golabpour; Zahra Rahmatinejad; Maryam Karimi; Saeid Eslami,Current Drug Delivery,10.2174/0115672018302321240620072039,,21,nanoparticle_dermal_ml,review,crossref
57,2025,Transdermal Drug Delivery Systems Powered by Artificial Intelligence.,Farzaneh Sabbagh; Anna Zakrzewska; Daniel Rybak; Julia Król; Asad Abdi; Paweł Nakielski; Filippo Pierini,Advanced healthcare materials,10.1002/adhm.202503030,41102882,21,formulation_optimization_ml,ML/ensemble,pubmed
25,2017,Molecular Dynamics as a tool for in silico screening of skin permeability.,Paolo Rocco; Francesco Cilurzo; Paola Minghetti; Giulio Vistoli; Alessandro Pedretti,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,10.1016/j.ejps.2017.06.020,28627472,20,md_atomistic_skin,MD,pubmed
66,2024,Model-Informed Drug Development: In Silico Assessment of Drug Bioperformance following Oral and Percutaneous Administration.,Jelena Djuris; Sandra Cvijic; Ljiljana Djekic,"Pharmaceuticals (Basel, Switzerland)",10.3390/ph17020177,38399392,20,skin_permeability_qsar,none,pubmed
40,2021,Correlation between the structure and skin permeability of compounds.,Ruolan Zeng; Jiyong Deng; Limin Dang; Xinliang Yu,Scientific reports,10.1038/s41598-021-89587-5,33980965,19,skin_permeability_qsar,SVM,pubmed
