id,year,title,authors,journal,doi,pmid,citations,theme,method,source
36,2025,First report on QSAR modelling for chemical penetration enhancement ratio (ER) of different FDA-approved drugs in Poloxamer 407: A next step towards better skin permeability of drugs.,Shama Parveen; Arijit Bhattacharya; Om Silakari; Bharti Sapra,International journal of pharmaceutics,10.1016/j.ijpharm.2024.125083,39694159,5,skin_permeability_qsar,QSAR,pubmed
38,2017,Carbon nanotube membranes to predict skin permeability of compounds.,Sibel Ilbasmis-Tamer; Fatmanur Tugcu-Demiroz; Ismail Tuncer Degim,Pharmaceutical development and technology,10.1080/10837450.2016.1221430,27491272,5,skin_permeability_qsar,none,pubmed
43,2025,Intelligent transdermal nanoparticles as synergizing advanced delivery systems for precision therapeutics.,Zhouying Guo; Yi'nan Zhang; Man Zhao; Wenyuan Zhang; Xiaofang Li; Fang Zhou; Haisheng Peng; Qun Wang,Materials today. Bio,10.1016/j.mtbio.2025.102220,40917520,5,nanoparticle_dermal_ml,ANN,pubmed
52,2025,Leveraging machine learning to predict drug permeation: impact of menthol and limonene as enhancers.,Manisha Yadav; Baddipadige Raju; Gera Narendra; Jasveer Kaur; Manoj Kumar; Om Silakari; Bharti Sapra,Molecular diversity,10.1007/s11030-024-11062-w,39680273,5,skin_permeability_qsar,ML/ensemble,pubmed
37,2026,Recent advances in graphene-based biosensors for point-of-care diagnostics.,K P Khadeeja Thanha; P Ayisha Sana; K Pramod,Biomaterials advances,10.1016/j.bioadv.2025.214541,41072172,4,nanoparticle_dermal_ml,review,pubmed
73,2024,Reduced estrogenic risks of a sunscreen additive: Theoretical design and evaluation of functionally improved salicylates.,Yuhan Cui; Wei He; Zhonghe Wang; Hao Yang; Maosheng Zheng; Yu Li,Journal of hazardous materials,10.1016/j.jhazmat.2024.135371,39084014,4,skin_permeability_qsar,QSAR,pubmed
83,2025,Progress and Prospects of Transdermal Treatment of Allergic Skin Diseases with Natural Drugs based on Nanotechnology.,Wenfei Lu; Jiansheng Cao; Ying Lv; Meng Li; Ye Tang; Yufei Feng,AAPS PharmSciTech,10.1208/s12249-025-03244-y,41199004,4,nanoparticle_dermal_ml,none,pubmed
89,2026,AI-Guided 4D Printing of Carnivorous Plants-Inspired Microneedles for Accelerated Wound Healing.,Hyun Lee; Moon-Jo Kim; DongEung Kim; Chan Ho Moon; Seojoon Bang; Hyeong Seok Kang; Ju Yeong Gwon; Jong Hwa Seo,"Advanced materials (Deerfield Beach, Fla.)",10.1002/adma.202523665,41910374,4,microneedle_design_simulation,ML,pubmed
97,2025,A computational workflow for end-to-end simulation of percutaneous absorption.,Duo Zhang; Benjamin N Deacon; Weijun Li; Guoping Lian; Tao Chen,International journal of pharmaceutics,10.1016/j.ijpharm.2024.125084,39681219,4,md_atomistic_skin,MD,pubmed
19,2024,Development of a hierarchical support vector regression-based in silico model for the prediction of the cysteine depletion in DPRA.,Giang H Ta; Ching-Feng Weng; Max K Leong,Toxicology,10.1016/j.tox.2024.153739,38307191,3,skin_permeability_qsar,SVM,pubmed
21,2025,"Transdermal Drug Delivery of Flavonoid Compounds and Nanoparticles: Uptake, Interaction, Mechanism, and QSAR Studies.",Zhaoli Jiang; Hua Shao; Ying Li; Shiling Yuan,Langmuir : the ACS journal of surfaces and colloids,10.1021/acs.langmuir.5c02144,40704859,3,md_atomistic_skin,MD,pubmed
44,2024,Integrating mathematical approaches (IMAS): Novel methodology for predicting dermal absorption rates of chemicals under finite dose conditions.,Ryoki Kunita; Takafumi Nishijima; Hiroaki Todo; Masaaki Miyazawa,The Journal of toxicological sciences,10.2131/jts.49.219,38692909,3,skin_permeability_qsar,QSPR,pubmed
63,2017,Simulation data for an estimation of the maximum theoretical value and confidence interval for the correlation coefficient.,Paolo Rocco; Francesco Cilurzo; Paola Minghetti; Giulio Vistoli; Alessandro Pedretti,Data in brief,10.1016/j.dib.2017.07.045,28795106,3,md_atomistic_skin,MD,pubmed
68,2023,A regression analysis using simple descriptors for multiple dermal datasets: Going from individual membranes to the full skin.,Marina V Evans; Thomas E Moxon; Guoping Lian; Benjamin N Deacon; Tao Chen; Linda D Adams; Annabel Meade; John F Wambaugh,Journal of applied toxicology : JAT,10.1002/jat.4435,36609694,3,skin_permeability_qsar,regression,pubmed
98,2026,Machine learning-driven insights into the mechanical performance of polymeric microneedle array patches.,Xue Yao Liew; Jing Yi Lee; Jia Yee Ong; Ying Ying Tham; Eik Den Yeoh; Mohd Azam Osman; Choon Fu Goh,Journal of controlled release : official journal of the Controlled Release Society,10.1016/j.jconrel.2025.114505,41380941,3,microneedle_ml_permeation,ensemble,pubmed
112,2022,In Silico Interactions of the Components from the Schinus terebinthifolius Extract with Human Tyrosinase.,Julia N Bezerra; João Paulo M Spadeto; Joyce K Daré; Wanda Pereira Almeida; Matheus P Freitas; Rodrigo A Cormanich,ChemPlusChem,10.1002/cplu.202200109,35922385,3,skin_permeability_qsar,QSAR,pubmed
67,2026,Machine learning-guided composite ionic liquid-based system for dual-drug delivery targeting redox homeostasis and STAT3-PI3K axis in psoriasis therapy.,Meng Zeng; Ping Deng; Qian Yang; Jie Hu; Jixiang Li; Qi Tang; Xiaoyan Pu; Liangke Zhang,Bioactive materials,10.1016/j.bioactmat.2025.11.034,41438202,2,formulation_optimization_ml,ML,pubmed
81,2025,"Puncturing soft substrates with microneedle Arrays: Experiments, simulations, and machine learning predictions.",Nan Hu; Junjie Liu; Qifang Zhang; Lvfeng Jiang; Yuhong Li; Zhipeng Zhou; Guozheng Kang,Journal of the mechanical behavior of biomedical materials,10.1016/j.jmbbm.2025.107112,40618616,2,microneedle_design_simulation,ensemble,pubmed
1,2026,Taguchi–machine learning hybrid framework for optimization of particulate drug delivery systems,Doğukan Duymaz; Seda Kizilel,Journal of Drug Delivery Science and Technology,10.1016/j.jddst.2025.107839,,1,formulation_optimization_ml,ensemble,crossref
41,2025,"Corrigendum to ""Artificial intelligence-driven hydrogel microneedle patches integrating 5-fluorouracil inclusion complex-loaded flexible pegylated liposomes for enhanced non-melanoma skin cancer treatment"" [Int. J. Pharm. 669 (2025) 125072].",Phuvamin Suriyaamporn; Chaiyakarn Pornpitchanarong; Thapakorn Charoenying; Koranat Dechsri; Tanasait Ngawhirunpat; Praneet Opanasopit; Boonnada Pamornpathomkul,International journal of pharmaceutics,10.1016/j.ijpharm.2025.125260,39855956,1,microneedle_ml_permeation,none,pubmed
47,2025,Integrating Polymeric 3D-Printed Microneedles with Wearable Devices: Toward Smart and Personalized Healthcare Solutions.,Mahmood Razzaghi,Polymers,10.3390/polym18010123,41516906,1,review_perspective,review,pubmed
54,2026,Redefining Tumor Vascular Permeability through Deep Learning-Guided Microneedle Delivery.,Jingwei Tian; Mingsheng Zhu; Zhenyu Guan; Jianxin Liu; Yuanke Li; Qiqi Liu; Yingqi Miao; Jin Wu,ACS nano,10.1021/acsnano.5c16558,41660810,1,microneedle_ml_permeation,deep learning,pubmed
62,2024,"Corrigendum to ""Development and comparison of machine learning models for in-vitro drug permeation prediction from microneedle patch"" [Eur. J. of Pharm. Biopharm. 199 (2024) 114311].",Anuj A Biswas; Madhukiran R Dhondale; Maan Singh; Ashish K Agrawal; Prakash Muthudoss; Brahmeshwar Mishra; Dinesh Kumar,European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,10.1016/j.ejpb.2024.114424,39054108,1,microneedle_ml_permeation,ensemble,pubmed
65,2025,Modeling skin sensitization: hierarchical support vector regression-based prediction of lysine depletion in DPRA.,Giang H Ta; Max K Leong,Chemico-biological interactions,10.1016/j.cbi.2025.111714,40854512,1,skin_permeability_qsar,SVM,pubmed
107,2025,Establishing a General Atomistic Model for the Stratum Corneum Lipid Matrix Based on Experimental Data for Skin Permeation Studies.,Navaneethan Radhakrishnan; Sunil C Kaul; Renu Wadhwa; Lee-Wei Yang; Durai Sundar,International journal of molecular sciences,10.3390/ijms26020674,39859387,1,md_atomistic_skin,MD,pubmed
0,2026,Artificial Intelligence and Machine Learning Applications in Drug Delivery Technology: A Review,Dr. Namrata Bhatt; Dr. Upendra Singh,International Journal of Drug Delivery Technology,10.25258/ijddt.16.43s.71,,0,formulation_optimization_ml,ensemble,crossref
2,2026,"Artificial Intelligence in Drug Delivery for Infectious Diseases: A Critical Synthesis of Machine Learning Architectures, PBPK Modeling, and Antimicrobial Resistance",Rupinder Preet Kaur; Vaishali Arora; Sanjana Manjh,Journal of Drug Delivery and Therapeutics,10.22270/jddt.v16i6.7788,,0,formulation_optimization_ml,ensemble,crossref
