analysis,data_scope,endpoint,model,validation,n_observations,pooled_r2,pooled_rmse,pooled_mae,comparison_note
4A general skin QSAR,214 compound experimental skin-permeability dataset,log Kp (cm/h),GaussianProcess,5-fold shuffled cross-validation,214,0.49234480347610066,0.830554416996462,0.6215485739714551,Metrics are reported side-by-side only; differing endpoints and datasets make them not directly rankable.
4B Yuan reproduction,191 microneedle observations; random 70:30 split,permeation amount (µg/cm²),XGBoost,"70:30 random split, random_state=42",58,0.9672862593037519,562.2473319099707,291.4927247778582,Metrics are reported side-by-side only; differing endpoints and datasets make them not directly rankable.
4B Yuan extrapolation,191 microneedle observations; six-drug LODO,permeation amount (µg/cm²),XGBoost,leave-one-drug-out,191,-0.12178456048809339,4777.6734605584425,2081.587728154605,Metrics are reported side-by-side only; differing endpoints and datasets make them not directly rankable.
