dataset,validation,variant,target,model,n_observations,pooled_r2,pooled_rmse,pooled_mae,mean_fold_r2,sd_fold_r2,mean_fold_rmse,sd_fold_rmse,mean_fold_mae,sd_fold_mae,n_folds
Yuan 2023 reconstructed 191 observations,leave-one-drug-out,seven_feature_all_six_drugs,permeation_amount_ug_cm2,Fick_diffusion_proxy,191,-18.336152896337474,19835.665242387902,11418.274875118721,-1662.7338182070087,3364.208617007489,6677.240450436351,12506.2507417546,5883.27849500524,10765.161953981014,6
Yuan 2023 reconstructed 191 observations,leave-one-drug-out,seven_feature_all_six_drugs,permeation_amount_ug_cm2,MLR,191,-2.21275964435927,8085.387756885484,5159.020603747607,-943614.5202465253,2304889.7868277715,5613.002242610829,5658.277246895527,4869.279568268412,5489.318342172117,6
Yuan 2023 reconstructed 191 observations,leave-one-drug-out,seven_feature_all_six_drugs,permeation_amount_ug_cm2,RandomForest,191,-0.16164147804096252,4861.807843140067,2318.9189589015105,-67084.43753562128,163519.31606981877,1984.6906763218783,2884.1983692428466,1440.7623066074623,1804.532977030773,6
Yuan 2023 reconstructed 191 observations,leave-one-drug-out,seven_feature_all_six_drugs,permeation_amount_ug_cm2,XGBoost,191,-0.12178456048809339,4777.6734605584425,2081.587728154605,-461.57737305442544,1035.8482466323803,1588.8563303188382,3006.206736049547,1067.2253725293897,1882.6623710763713,6
Yuan 2023 reconstructed 191 observations,leave-one-drug-out,seven_feature_all_six_drugs,permeation_percentage,Fick_diffusion_proxy,191,-4.726475075125245,60.41048812901508,54.24872061875602,-802.0743769768779,1293.0792622459421,59.42237072066916,26.572039257455298,57.790185230980605,27.53089305842982,6
Yuan 2023 reconstructed 191 observations,leave-one-drug-out,seven_feature_all_six_drugs,permeation_percentage,MLR,191,-185.5355518378996,344.7858750902484,149.4915378818108,-254.81438998665158,565.9144783604592,147.0438728066332,334.22613883509086,145.7416785141078,334.79958747429833,6
Yuan 2023 reconstructed 191 observations,leave-one-drug-out,seven_feature_all_six_drugs,permeation_percentage,RandomForest,191,-0.03782880350036133,25.71766396734407,15.580351828963598,-20.77355640901219,39.94406135960849,17.467441506124057,19.733953357874434,15.232489919243173,19.39629622713531,6
Yuan 2023 reconstructed 191 observations,leave-one-drug-out,seven_feature_all_six_drugs,permeation_percentage,XGBoost,191,-0.13946992031016148,26.94759987049662,15.581359520159072,-12.132116984026972,22.09525824812213,17.069104357625797,21.633822234960856,14.76766774829788,21.2080071397726,6
