dataset,validation,variant,n_observations,pooled_r2,pooled_rmse,pooled_mae,mean_fold_r2,sd_fold_r2,mean_fold_rmse,sd_fold_rmse,mean_fold_mae,sd_fold_mae,n_folds,n_synthetic_points_available_per_training_fold,synthetic_flag_file
214 experimental skin-permeability compounds,5-fold test sets contain experimental observations only,experimental_only_two_descriptor,214,0.3115326385218906,0.9672201872322332,0.7167540667324421,0.3139091998209468,0.09289689916680577,0.9567278700331154,0.15576774991618297,0.7166037454869133,0.12514843470530124,5,0,phase4b_physics_augmented_points.csv
214 experimental skin-permeability compounds,5-fold test sets contain experimental observations only,physics_augmented_two_descriptor,214,0.27667593721706707,0.9914027760327598,0.7316995462190323,0.26285134615728256,0.1478812771533247,0.9845449652703646,0.1316625103660194,0.7319006270427642,0.09537623546034359,5,100,phase4b_physics_augmented_points.csv
