validation,variant,target,model,held_out_drug,n_observations,pooled_r2,pooled_rmse,pooled_mae
leave-one-drug-out fold,seven_feature_all_six_drugs,permeation_percentage,MLR,copper ions,24,-13.046145105126442,7.120650457820232,6.236665393934217
leave-one-drug-out fold,seven_feature_all_six_drugs,permeation_percentage,MLR,lidocaine,73,0.5456662585404666,8.04875757775451,5.618674174864064
leave-one-drug-out fold,seven_feature_all_six_drugs,permeation_percentage,RandomForest,BSA,33,-5.643362006108521,56.94326779949123,54.34721283352477
leave-one-drug-out fold,seven_feature_all_six_drugs,permeation_percentage,RandomForest,GHK peptide,24,-0.3477887143901486,4.304908126648637,3.551353469431913
leave-one-drug-out fold,seven_feature_all_six_drugs,permeation_percentage,RandomForest,Rhodamine B,19,-0.8310328280151971,7.564748866836511,6.5825807904382865
leave-one-drug-out fold,seven_feature_all_six_drugs,permeation_percentage,RandomForest,caffeine,18,-101.3299152842126,15.189429749477464,12.623439478199359
leave-one-drug-out fold,seven_feature_all_six_drugs,permeation_percentage,RandomForest,copper ions,24,-16.323162820939014,7.907781954680051,6.088367713646428
leave-one-drug-out fold,seven_feature_all_six_drugs,permeation_percentage,RandomForest,lidocaine,73,-0.16607680040765227,12.894512539610465,8.201985230218272
leave-one-drug-out fold,seven_feature_all_six_drugs,permeation_percentage,XGBoost,BSA,33,-6.541882358581688,60.671998985751046,57.89595296078963
leave-one-drug-out fold,seven_feature_all_six_drugs,permeation_percentage,XGBoost,GHK peptide,24,-0.16918648355278498,4.0095429745309685,3.659558070985667
leave-one-drug-out fold,seven_feature_all_six_drugs,permeation_percentage,XGBoost,Rhodamine B,19,-0.7061642498929992,7.302252876846877,6.3841162212389495
leave-one-drug-out fold,seven_feature_all_six_drugs,permeation_percentage,XGBoost,caffeine,18,-56.64099046807122,11.400026995758202,7.88685332073695
leave-one-drug-out fold,seven_feature_all_six_drugs,permeation_percentage,XGBoost,copper ions,24,-8.518196071204533,5.861630192544953,4.459655773607548
leave-one-drug-out fold,seven_feature_all_six_drugs,permeation_percentage,XGBoost,lidocaine,73,-0.2162822728586018,13.169174120322733,8.319870142428531
