model,feature,mean_abs_shap,rank
4A_XGBoost,LogP,0.3499802258387904,1
4A_XGBoost,MW,0.3078163908838042,2
4A_XGBoost,MolarRefractivity,0.19799355369074287,3
4A_XGBoost,HBD,0.17726388374978902,4
4A_XGBoost,TPSA,0.15739294615787428,5
4A_XGBoost,NumHeteroatoms,0.10153260874501038,6
4A_XGBoost,FractionCSP3,0.08428210899925782,7
4A_XGBoost,NumRings,0.07046946112902086,8
4A_XGBoost,HBA,0.06493478746993345,9
4A_XGBoost,RotB,0.036397901102960345,10
4A_XGBoost,NumAromaticRings,0.00917170622279143,11
