row_index,Drug name,Drug MW (Dalton),MN Length (mm),Permeation time (hour),fick_proxy_diffusion_um2_min,fick_proxy_residual_skin_mm,fick_proxy_fraction,predicted_permeation_percentage,predicted_permeation_amount_ug_cm2
0,BSA,66000.0,0.82,1.0,106.79039757319296,0.18000000000000005,0.11181940970812505,11.181940970812505,59.3761065550144
1,BSA,66000.0,0.82,1.0,106.79039757319296,0.18000000000000005,0.11181940970812505,11.181940970812505,58.81700950647378
2,BSA,66000.0,0.82,1.0,106.79039757319296,0.18000000000000005,0.11181940970812505,11.181940970812505,183.0483736922007
3,BSA,66000.0,0.82,3.0,106.79039757319296,0.18000000000000005,0.3586050640937736,35.86050640937736,190.41928903379377
4,BSA,66000.0,0.82,3.0,106.79039757319296,0.18000000000000005,0.3586050640937736,35.86050640937736,188.6262637133249
5,BSA,66000.0,0.82,3.0,106.79039757319296,0.18000000000000005,0.3586050640937736,35.86050640937736,389.80370466993185
6,BSA,66000.0,0.82,3.0,106.79039757319296,0.18000000000000005,0.3586050640937736,35.86050640937736,385.1418388367128
7,BSA,66000.0,0.82,3.0,106.79039757319296,0.18000000000000005,0.3586050640937736,35.86050640937736,587.0364899215074
8,BSA,66000.0,0.82,3.0,106.79039757319296,0.18000000000000005,0.3586050640937736,35.86050640937736,486.6270719752507
9,BSA,66000.0,0.82,6.0,106.79039757319296,0.18000000000000005,0.5162461658629698,51.62461658629698,274.12671407323694
10,BSA,66000.0,0.82,6.0,106.79039757319296,0.18000000000000005,0.5162461658629698,51.62461658629698,561.1595822930482
11,BSA,66000.0,0.82,6.0,106.79039757319296,0.18000000000000005,0.5162461658629698,51.62461658629698,845.0949735176815
12,BSA,66000.0,0.82,6.0,106.79039757319296,0.18000000000000005,0.5162461658629698,51.62461658629698,700.54604707605
13,BSA,66000.0,0.82,9.0,106.79039757319296,0.18000000000000005,0.5960961451563382,59.60961451563382,316.5270530780156
14,BSA,66000.0,0.82,9.0,106.79039757319296,0.18000000000000005,0.5960961451563382,59.60961451563382,647.9565097849396
15,BSA,66000.0,0.82,9.0,106.79039757319296,0.18000000000000005,0.5960961451563382,59.60961451563382,975.8093896209257
16,BSA,66000.0,0.82,9.0,106.79039757319296,0.18000000000000005,0.5960961451563382,59.60961451563382,808.902468977151
17,BSA,66000.0,0.82,18.0,106.79039757319296,0.18000000000000005,0.7078220864445031,70.78220864445031,769.4026079651749
18,BSA,66000.0,0.82,18.0,106.79039757319296,0.18000000000000005,0.7078220864445031,70.78220864445031,1158.7047555096515
19,BSA,66000.0,0.82,18.0,106.79039757319296,0.18000000000000005,0.7078220864445031,70.78220864445031,960.5145713051907
20,BSA,66000.0,0.82,24.0,106.79039757319296,0.18000000000000005,0.7455055262472079,74.5505526247208,810.364507030715
21,BSA,66000.0,0.82,24.0,106.79039757319296,0.18000000000000005,0.7455055262472079,74.5505526247208,1220.3925464666793
