dataset,validation,model,n_observations,pooled_r2,pooled_rmse,pooled_mae,mean_fold_r2,sd_fold_r2,mean_fold_rmse,sd_fold_rmse,mean_fold_mae,sd_fold_mae,n_folds
214 experimental skin-permeability compounds,5-fold shuffled cross-validation,GaussianProcess,214,0.49234480347610066,0.830554416996462,0.6215485739714551,0.48823911170041046,0.14140509973826762,0.8195692134025487,0.1526769273530602,0.6218319079412281,0.09703971037590998,5
214 experimental skin-permeability compounds,5-fold shuffled cross-validation,MLR,214,0.26499734962020316,0.9993741845234486,0.754748378147029,0.2524667232505997,0.17863021169771642,0.9915515727898679,0.14381167609573972,0.7548952653273124,0.07959620098981207,5
214 experimental skin-permeability compounds,5-fold shuffled cross-validation,Potts-Guy,214,-0.23563860953879323,1.2957744407042318,0.9509330486036991,-0.28622741256464923,0.5650826777261431,1.2719409726621722,0.27991829306316757,0.9515823718992301,0.16967326852121029,5
214 experimental skin-permeability compounds,5-fold shuffled cross-validation,RandomForest,214,0.48385824262394006,0.837467905097449,0.6088766102024924,0.4810836258358543,0.05678200992850837,0.8313456983073257,0.11152052193565752,0.6089642039234299,0.06668335479437197,5
214 experimental skin-permeability compounds,5-fold shuffled cross-validation,XGBoost,214,0.4312879088862669,0.8790830473265774,0.6374367682399037,0.423627353972212,0.07923899764559621,0.8737240995294737,0.1065828058738379,0.6372880617109512,0.08396671396140128,5
