record_set,record_id,name,MW,LogP,leverage,leverage_threshold,in_leverage_domain,in_simple_MW_LogP_range
experimental_training_214,0,BrC(Br)Br,252.731,2.4547,0.10484615488885456,0.16822429906542055,True,True
experimental_training_214,1,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,641.6999999999999,6.921600000000004,0.41297096250701504,0.16822429906542055,False,True
experimental_training_214,2,BrCc1ccccc1,171.037,2.5815,0.0368717670822803,0.16822429906542055,True,True
experimental_training_214,3,C=CC(=O)OCC(CC)CCCC,184.2789999999999,2.9320000000000013,0.048485698963484834,0.16822429906542055,True,True
experimental_training_214,4,C=CCOc1ccccc1OCC(O)CNC(C)C,265.35299999999995,1.9891,0.06831104776325776,0.16822429906542055,True,True
experimental_training_214,5,C=CCc1cc(S(=O)(=O)c2ccc(O)c(CC=C)c2)ccc1O,330.40500000000003,3.387600000000002,0.027486451968591268,0.16822429906542055,True,True
experimental_training_214,6,C=CCc1ccc(O)c(OC)c1,164.20399999999995,2.1292999999999997,0.016755458966555396,0.16822429906542055,True,True
experimental_training_214,7,CC(=O)C(Cl)(Cl)Cl,161.41500000000002,1.9456,0.03319130695278599,0.16822429906542055,True,True
experimental_training_214,8,CC(=O)C(Cl)Cl,126.97,1.3791,0.019100426212986063,0.16822429906542055,True,True
experimental_training_214,9,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,314.46900000000005,4.723500000000005,0.09028950934584343,0.16822429906542055,True,True
experimental_training_214,10,CC(=O)C=Cc1ccccc1,146.189,2.2888,0.021742314338887205,0.16822429906542055,True,True
experimental_training_214,11,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,223.275,3.2162000000000015,0.029148217091075557,0.16822429906542055,True,True
experimental_training_214,12,CC(=O)Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,285.25600000000003,-2.1867999999999994,0.0458417363134244,0.16822429906542055,True,True
experimental_training_214,13,CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,494.53100000000023,2.9376000000000015,0.09504434633889959,0.16822429906542055,True,True
experimental_training_214,14,CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,466.5270000000002,1.6926999999999996,0.10560235781469127,0.16822429906542055,True,True
experimental_training_214,15,CC(=O)Oc1ccccc1C(=O)O,180.15899999999996,1.3101,0.016832180935526846,0.16822429906542055,True,True
experimental_training_214,16,CC(=O)c1ccccc1,120.15099999999995,1.8892,0.01731502778264332,0.16822429906542055,True,True
experimental_training_214,17,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,244.265,3.6808000000000023,0.02331960292598028,0.16822429906542055,True,True
experimental_training_214,18,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,255.27299999999997,2.9662000000000006,0.024576209282786456,0.16822429906542055,True,True
experimental_training_214,19,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,254.285,3.1057000000000015,0.025482925112259202,0.16822429906542055,True,True
experimental_training_214,20,CC(C(=O)OCC1OC(O)C(O)C(O)C1O)c1ccc(-c2ccccc2)c(F)c1,406.4060000000001,0.9393000000000002,0.0413792296998803,0.16822429906542055,True,True
experimental_training_214,21,CC(C(=O)OCC1OC(O)C(O)C(O)C1O)c1cccc(C(=O)c2ccccc2)c1,416.42600000000016,0.3642000000000001,0.053733840473911,0.16822429906542055,True,True
experimental_training_214,22,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,292.766,3.729300000000002,0.027659812145560073,0.16822429906542055,True,True
experimental_training_214,23,CC(C)(C)c1ccccc1O,150.22099999999998,2.6897000000000015,0.029424593686256006,0.16822429906542055,True,True
experimental_training_214,24,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,543.875,6.4737000000000045,0.215785768863579,0.16822429906542055,False,True
experimental_training_214,25,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,228.291,3.423700000000002,0.03159777657184045,0.16822429906542055,True,True
experimental_training_214,26,CC(C)=CCCC(C)=CCO,154.253,2.6714000000000016,0.03324959295041431,0.16822429906542055,True,True
experimental_training_214,27,CC(C)CCC(=O)O,116.15999999999998,1.5072,0.03023472755914229,0.16822429906542055,True,True
experimental_training_214,28,CC(C)Cc1ccc(C(C)C(=O)O)cc1,206.28499999999997,3.073200000000001,0.019453142829360896,0.16822429906542055,True,True
experimental_training_214,29,CC(C)Cc1ccc(C(C)C(=O)OCC2OC(O)C(O)C(O)C2O)cc1,368.426,0.3316999999999994,0.03975552499736746,0.16822429906542055,True,True
experimental_training_214,30,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,266.34099999999995,0.4521,0.03697991610637168,0.16822429906542055,True,True
experimental_training_214,31,CC(C)NCC(O)COc1cccc2ccccc12,259.34900000000005,2.577500000000001,0.03961427567143811,0.16822429906542055,True,True
experimental_training_214,32,CC(N)C(=O)NC(C)C(=O)N1CCCC1C(=O)NC(C(=O)O)C(C)C,356.42300000000006,-0.9452999999999958,0.09631225144077081,0.16822429906542055,True,True
experimental_training_214,33,CC(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,275.30800000000005,0.6269999999999998,0.0654257935752009,0.16822429906542055,True,True
experimental_training_214,34,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,346.46700000000016,2.6667000000000005,0.061776086396881244,0.16822429906542055,True,True
experimental_training_214,35,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,362.4660000000002,1.7815999999999996,0.062045574716160276,0.16822429906542055,True,True
experimental_training_214,36,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,360.45000000000016,1.8456999999999997,0.05475769122819152,0.16822429906542055,True,True
experimental_training_214,37,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,288.43100000000004,3.879200000000002,0.08642392703719771,0.16822429906542055,True,True
experimental_training_214,38,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,272.3879999999999,3.609200000000002,0.06980822085607738,0.16822429906542055,True,True
experimental_training_214,39,CC1=C2C(=COC(C)C2C)C(=O)C(C(=O)O)=C1O,250.24999999999991,1.721,0.04048949251271357,0.16822429906542055,True,True
experimental_training_214,40,CC1=CC(=O)C(C(C)C)=CC1=O,164.20399999999998,1.6669,0.02847103802808114,0.16822429906542055,True,True
experimental_training_214,41,CC1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,280.291,1.36176,0.04878640167030016,0.16822429906542055,True,True
experimental_training_214,42,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,392.4670000000002,1.8957,0.061443034488428305,0.16822429906542055,True,True
experimental_training_214,43,CC1CCCC(=O)CCCC=Cc2cc(O)cc(O)c2C(=O)O1,318.3690000000001,3.5796000000000032,0.13681172125383786,0.16822429906542055,True,True
experimental_training_214,44,CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,403.81800000000015,2.5727000000000007,0.03217823301707775,0.16822429906542055,True,True
experimental_training_214,45,CC=Cc1ccc(O)c(OC)c1,164.20399999999998,2.4339000000000004,0.015143577138815008,0.16822429906542055,True,True
experimental_training_214,46,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,386.56100000000015,4.214800000000004,0.06678786067310685,0.16822429906542055,True,True
experimental_training_214,47,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,336.47900000000004,4.136700000000004,0.053150753943575005,0.16822429906542055,True,True
experimental_training_214,48,CCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,418.53000000000026,2.7425000000000006,0.06480001882752859,0.16822429906542055,True,True
experimental_training_214,49,CCC1(CC)C(=O)NC(=O)NC1=O,184.195,0.1587999999999999,0.01936547596504353,0.16822429906542055,True,True
experimental_training_214,50,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,226.276,1.1849999999999998,0.020807064130502435,0.16822429906542055,True,True
experimental_training_214,51,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,232.23899999999995,0.7004,0.01814426633894649,0.16822429906542055,True,True
experimental_training_214,52,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,476.58500000000026,3.6368000000000023,0.07317361262702822,0.16822429906542055,True,True
experimental_training_214,53,CCCCC1(CC)C(=O)NC(=O)NC1=O,212.249,0.9389999999999998,0.018916081396991476,0.16822429906542055,True,True
experimental_training_214,54,CCCCCC(=O)Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,341.3640000000001,-0.6263999999999996,0.028214451643208273,0.16822429906542055,True,True
experimental_training_214,55,CCCCCC=CC=CC(=O)NCC(C)C,223.35999999999996,3.4513000000000016,0.057850766736549174,0.16822429906542055,True,True
experimental_training_214,56,CCCCCCC(N)C(=O)N(C)C(C)C(=O)NC(C)C(=O)N1CCCC1C(=O)NC(C(=O)O)C(C)C,511.6640000000004,0.8521000000000056,0.1636854248065572,0.16822429906542055,True,True
experimental_training_214,57,CCCCCCCCC(N)C(=O)N(C)C(C)C(=O)NC(C)C(=O)N1CCCC1C(=O)NC(C(=O)O)C(C)C,539.7180000000002,1.6323000000000052,0.18059419990702388,0.16822429906542055,False,True
experimental_training_214,58,CCCCCCCCCCC(N)C(=O)N(C)C(C)C(=O)NC(C)C(=O)N1CCCC1C(=O)NC(C(=O)O)C(C)C,567.7720000000003,2.412500000000006,0.20904913631992972,0.16822429906542055,False,True
experimental_training_214,59,CCCCCCCCCCO,158.285,3.119400000000002,0.08249674450982092,0.16822429906542055,True,True
experimental_training_214,60,CCCCCCCCO,130.23100000000002,2.3392000000000013,0.05618055399373147,0.16822429906542055,True,True
experimental_training_214,61,CCCCCCO,102.177,1.559,0.041777797919335065,0.16822429906542055,True,True
experimental_training_214,62,CCCCCO,88.14999999999999,1.1689,0.03904395779777186,0.16822429906542055,True,True
experimental_training_214,63,CCCCO,74.12299999999999,0.7787999999999999,0.039288476286631936,0.16822429906542055,True,True
experimental_training_214,64,CCCCOC(=O)c1ccc(N)cc1,193.246,2.2257,0.015094209812410705,0.16822429906542055,True,True
experimental_training_214,65,CCCCOC(=O)c1ccc(O)cc1,194.23,2.349100000000001,0.01807146349496612,0.16822429906542055,True,True
experimental_training_214,66,CCCCOC(C)O,118.17599999999996,1.1414,0.03557686657789388,0.16822429906542055,True,True
experimental_training_214,67,CCCCOCC(C)O,132.203,1.1839,0.03609020214618741,0.16822429906542055,True,True
experimental_training_214,68,CCCCOCCO,118.176,0.7953999999999999,0.0397035371446862,0.16822429906542055,True,True
experimental_training_214,69,CCCCOCCOCCO,162.22899999999998,0.812,0.06781968474505101,0.16822429906542055,True,True
experimental_training_214,70,CCCCc1ccc(O)cc1,150.22099999999998,2.734800000000001,0.0183679495434915,0.16822429906542055,True,True
experimental_training_214,71,CCCO,60.096,0.3887,0.04251135338591532,0.16822429906542055,True,True
experimental_training_214,72,CCCOC(=O)c1ccc(N)cc1,179.21899999999997,1.8356,0.012149870853721672,0.16822429906542055,True,True
experimental_training_214,73,CCCOC(=O)c1ccc(O)cc1,180.20299999999995,1.959,0.014006260939882557,0.16822429906542055,True,True
experimental_training_214,74,CCCOc1ccc(O)cc1,152.19299999999998,2.181,0.016169640973349355,0.16822429906542055,True,True
experimental_training_214,75,CCN(CC)C(=O)c1cccc(C)c1,191.274,2.4770200000000004,0.022805572644887827,0.16822429906542055,True,True
experimental_training_214,76,CCN(CC)CC(=O)Nc1c(C)cccc1C,234.343,2.5837400000000006,0.028417786810538134,0.16822429906542055,True,True
experimental_training_214,77,CCNc1nc(Cl)nc(NCC)n1,201.661,1.3885999999999998,0.04703592192370849,0.16822429906542055,True,True
experimental_training_214,78,CCO,46.069,-0.0014,0.04871258909562189,0.16822429906542055,True,True
experimental_training_214,79,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,247.3379999999999,2.2131,0.026810874701673617,0.16822429906542055,True,True
experimental_training_214,80,CCOC(=O)C=CC(=O)OCC,172.17999999999995,0.6688,0.046401196370328815,0.16822429906542055,True,True
experimental_training_214,81,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,330.3640000000001,2.1218000000000004,0.17679122821834667,0.16822429906542055,False,True
experimental_training_214,82,CCOC(=O)c1ccc(N)cc1,165.19199999999998,1.4455,0.012093346844654648,0.16822429906542055,True,True
experimental_training_214,83,CCOC(=O)c1ccc(O)cc1,166.176,1.5689,0.012980251188701155,0.16822429906542055,True,True
experimental_training_214,84,CCOC(=O)c1ccccc1C(=O)OCC,222.23999999999995,2.04,0.033977029557187406,0.16822429906542055,True,True
experimental_training_214,85,CCOCCO,90.122,0.0152,0.0357838589796245,0.16822429906542055,True,True
experimental_training_214,86,CCOc1ccc2ccc(=O)oc2c1,190.19799999999995,2.1917,0.02835911791878023,0.16822429906542055,True,True
experimental_training_214,87,CN(C)C(=S)SSC(=S)N(C)C,240.444,2.0608,0.3188726986440449,0.16822429906542055,False,True
experimental_training_214,88,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,318.8730000000001,4.894400000000004,0.061451811004145526,0.16822429906542055,True,True
experimental_training_214,89,CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12,291.438,4.877300000000004,0.07264735836867589,0.16822429906542055,True,True
experimental_training_214,90,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,454.44700000000023,0.2684000000000012,0.13771361096676504,0.16822429906542055,True,True
experimental_training_214,91,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,289.37500000000006,1.9308999999999996,0.022516435413711136,0.16822429906542055,True,True
experimental_training_214,92,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,301.342,0.7451999999999999,0.05907224749992105,0.16822429906542055,True,True
experimental_training_214,93,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,285.34299999999996,1.6303,0.061092486485520035,0.16822429906542055,True,True
experimental_training_214,94,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,285.343,1.1981,0.0689894123841209,0.16822429906542055,True,True
experimental_training_214,95,CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5,287.359,1.4221,0.06725374522047138,0.16822429906542055,True,True
experimental_training_214,96,CN1CCCC1c1cccnc1,162.236,1.8483,0.01832307372853103,0.16822429906542055,True,True
experimental_training_214,97,CNC(=O)Oc1ccccc1OC(C)C,209.245,2.192,0.011692403151858705,0.16822429906542055,True,True
experimental_training_214,98,CNCCC=C1c2ccccc2CCc2ccccc21,263.38399999999996,3.826400000000003,0.04544514067363121,0.16822429906542055,True,True
experimental_training_214,99,COC(=O)Nc1nc2ccccc2[nH]1,191.19000000000003,1.7411999999999996,0.02920220580608444,0.16822429906542055,True,True
experimental_training_214,100,COC(=O)c1ccc(N)cc1,151.16500000000002,1.0554,0.015454363541801588,0.16822429906542055,True,True
experimental_training_214,101,COC(=O)c1ccc(O)cc1,152.149,1.1788,0.015579926693368891,0.16822429906542055,True,True
experimental_training_214,102,COC(=O)c1ccccc1C(=O)OC,194.18599999999995,1.2597999999999998,0.03699948457315433,0.16822429906542055,True,True
experimental_training_214,103,COC(=O)c1ccccc1O,152.14899999999997,1.1787999999999998,0.015579926693368907,0.16822429906542055,True,True
experimental_training_214,104,COC(=O)c1cccnc1,137.138,0.8681999999999999,0.02693015393752522,0.16822429906542055,True,True
experimental_training_214,105,COCC(C)O,90.122,0.0136000000000001,0.03576473503672319,0.16822429906542055,True,True
experimental_training_214,106,COCCc1ccc(OCC(O)CNC(C)C)cc1,267.36899999999997,1.6132,0.06421416139822705,0.16822429906542055,True,True
experimental_training_214,107,COP(=O)(OC)OC=C(Cl)Cl,220.976,2.680400000000001,0.0744898090578562,0.16822429906542055,True,True
experimental_training_214,108,COS(C)(=O)=O,110.134,-0.4075999999999999,0.059256649952400965,0.16822429906542055,True,True
experimental_training_214,109,COc1cc(C=O)ccc1O,152.14899999999997,1.2132999999999998,0.017438299385725813,0.16822429906542055,True,True
experimental_training_214,110,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,312.277,2.2764999999999995,0.08726849260913362,0.16822429906542055,True,True
experimental_training_214,111,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,339.3910000000001,3.860000000000003,0.0726152159660839,0.16822429906542055,True,True
experimental_training_214,112,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,357.793,3.9273200000000026,0.05530825069098945,0.16822429906542055,True,True
experimental_training_214,113,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314,315.3690000000001,1.0481999999999998,0.06401223355337027,0.16822429906542055,True,True
