dataset,validation,variant,target,n_observations,pooled_r2,pooled_rmse,pooled_mae,mean_fold_r2,sd_fold_r2,mean_fold_rmse,sd_fold_rmse,mean_fold_mae,sd_fold_mae,n_folds,learned_component_loading_importance,mitigation_description
Yuan 2023 reconstructed 191 observations,leave-one-drug-out,baseline_7feature_amount_XGBoost,permeation_amount_ug_cm2,191,-0.12178456048809339,4777.6734605584425,2081.587728154605,-461.57737305442544,1035.8482466323803,1588.8563303188382,3006.206736049547,1067.2253725293897,1882.6623710763713,6,0.6246158080053571,Original seven-feature amount XGBoost.
Yuan 2023 reconstructed 191 observations,leave-one-drug-out,percentage_first_no_loading_XGBoost,permeation_amount_ug_cm2,191,0.027579116600010112,4448.246780107805,1949.0947841256304,-48.675608024660626,107.07403224288952,1456.4830910671087,2814.2504786973473,988.2445922839485,1800.2092268003735,6,0.0,XGBoost learns percentage without loading; amount is then reconstructed by mass balance.
