Drug name,Drug loading in MN patch (µg),Drug MW (Dalton),MN Length (mm),Skin type (rat =1; human = 2),MN type (hydrogel =1; plastic = 2),MN surface area (mm2),Permeation time (hour),Drug permeation percentage,Drug permeation amounts (µg/cm2),References,smiles,is_small_molecule,LogP,TPSA,HBD,HBA,RotB,NumRings,NumAromaticRings,FractionCSP3,MolarRefractivity,NumHeteroatoms
BSA,1357.0,66000.0,0.82,1,1,26.76103315,42.0,88.4325192,1200.029285,,,False,,,,,,,,,,
BSA,1087.0,66000.0,0.82,1,1,26.76103315,48.0,108.3982246,1178.288701,,,False,,,,,,,,,,
BSA,1637.0,66000.0,0.82,1,1,26.76103315,48.0,95.1974867,1558.382857,,,False,,,,,,,,,,
BSA,1357.0,66000.0,0.82,1,1,26.76103315,48.0,91.6883371,1244.210734,,,False,,,,,,,,,,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.083333333,1.4442226,1024.531509,"Kochhar JS, Lim WX, Zou S, Foo WY, Pan J, Kang L. Microneedle integrated transdermal patch for fast onset and sustained delivery of lidocaine. Mol Pharm. 2013;10:4272-4280.",CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.083333333,1.5646029,1109.929295,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.083333333,2.0977566,1488.148502,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.166666667,1.2837534,910.694674,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.166666667,3.128349,2219.250807,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.166666667,3.7167494,2636.662022,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.25,1.2837534,910.694674,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.25,2.9352834,2082.29003,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.25,3.5109631,2490.677205,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.333333333,1.2837534,910.694674,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.333333333,2.9352834,2082.29003,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.333333333,3.5109631,2490.677205,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.416666667,1.2837534,910.694674,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.416666667,2.9352834,2082.29003,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.416666667,3.5109631,2490.677205,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.5,1.2837534,910.694674,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.5,2.9352834,2082.29003,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.75,1.2837534,910.694674,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.75,2.9352834,2082.29003,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,1.0,4.035592,2862.848942,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,1.0,5.0122475,3555.688395,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,1.0,7.0138816,1895.431377,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,1.0,5.7532681,1554.763163,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,1.0,9.1872652,2482.766544,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,1.5,6.078239,4311.902742,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,1.5,7.3378683,5205.483748,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,2.0,8.371411,5938.678996,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,2.0,9.4920383,6733.651992,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,2.0,14.8085004,4001.849144,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,2.0,11.7574187,3177.324831,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,3.0,10.9104547,7739.876585,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,3.0,11.9575269,8482.669584,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,50592.0,234.34,0.889,1,1,32.12727744,3.0,2.4474498,1238.213787,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,50592.0,234.34,0.889,1,1,32.12727744,3.0,2.3593597,1193.647249,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,3.0,16.2602985,4394.183075,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,3.0,16.2278188,4385.405754,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,3.0,16.0061849,4325.511402,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,6.0,18.313884,12991.86928,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,6.0,20.1212327,14274.00249,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,50592.0,234.34,0.889,1,1,32.12727744,6.0,7.4552469,3771.758529,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
