MW,LogP,TPSA,HBD,HBA,RotB,NumRings,NumAromaticRings,FractionCSP3,MolarRefractivity,NumHeteroatoms,canon_smiles,logKp_cm_h,n_measurements,sources
275.30800000000005,0.6269999999999998,108.21,4,3,5,2,2,0.2857142857142857,75.21860000000004,6,CC(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,-4.95,1,HuskinDB
346.46700000000016,2.6667000000000005,74.6,2,4,2,4,0,0.8095238095238095,93.68260000000005,4,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,-3.76,1,HuskinDB
362.4660000000002,1.7815999999999996,94.83,3,5,2,4,0,0.8095238095238095,95.14240000000004,5,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.87,2,"HuskinDB,SkinPiX"
360.45000000000016,1.8456999999999997,91.67,2,5,3,4,0,0.7619047619047619,94.07260000000004,5,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,-4.41,1,HuskinDB
288.43100000000004,3.8792000000000026,37.3,1,2,0,4,0,0.8421052631578947,82.71680000000005,2,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,-1.79,2,"HuskinDB,SkinPiX"
272.3879999999999,3.6092000000000026,40.46,2,2,0,4,1,0.6666666666666666,78.73060000000005,2,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-2.48,1,HuskinDB
250.24999999999994,1.7209999999999999,83.83000000000001,2,4,1,2,0,0.38461538461538464,62.79160000000002,5,CC1=C2C(=COC(C)C2C)C(=O)C(C(=O)O)=C1O,-3.33,1,SkinPiX
164.20399999999998,1.6669,34.14,0,2,1,1,0,0.4,46.69200000000002,2,CC1=CC(=O)C(C(C)C)=CC1=O,-2.9,1,SkinPiX
280.291,1.3617599999999999,113.42999999999998,2,6,3,2,1,0.21428571428571427,77.18640000000002,7,CC1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,-2.92,1,HuskinDB
392.4670000000002,1.8957000000000002,94.83,3,5,2,4,0,0.7272727272727273,99.94440000000004,6,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.89,1,HuskinDB
