event_time,study_id,protocol_version,print_run_id,batch_id,construct_id,event_type,actor_id,source_file,description,deviation_id,review_status
,,,,,,fabrication,,,,,
,,,,,,scan_acquisition,,,,,
,,,,,,calibration,,,,,
,,,,,,registration,,,,,
,,,,,,calculation,,,,,
,,,,,,qc_review,,,,,
,,,,,,decision,,,,,
